================================================================================
Log File for Training Session RN5
================================================================================
Epoch 1/150, Loss: 0.002773, PSNR: 32.170621 dB, SSIM: 0.896007

Epoch 2/150, Loss: 0.001309, PSNR: 32.508331 dB, SSIM: 0.902717

Epoch 3/150, Loss: 0.001239, PSNR: 32.783227 dB, SSIM: 0.909533

Epoch 4/150, Loss: 0.001213, PSNR: 32.892137 dB, SSIM: 0.910739

Epoch 5/150, Loss: 0.001181, PSNR: 32.187790 dB, SSIM: 0.911648

Epoch 6/150, Loss: 0.001144, PSNR: 33.200652 dB, SSIM: 0.914855

Epoch 7/150, Loss: 0.001129, PSNR: 33.069542 dB, SSIM: 0.916861

Epoch 8/150, Loss: 0.001116, PSNR: 33.302611 dB, SSIM: 0.916510

Epoch 9/150, Loss: 0.001094, PSNR: 33.138200 dB, SSIM: 0.919105

Epoch 10/150, Loss: 0.001083, PSNR: 33.315048 dB, SSIM: 0.917036

Epoch 11/150, Loss: 0.001071, PSNR: 33.339596 dB, SSIM: 0.918998

Epoch 12/150, Loss: 0.001065, PSNR: 33.424685 dB, SSIM: 0.920550

Epoch 13/150, Loss: 0.001045, PSNR: 33.616041 dB, SSIM: 0.922047

Epoch 14/150, Loss: 0.001041, PSNR: 33.023175 dB, SSIM: 0.921050

Epoch 15/150, Loss: 0.001034, PSNR: 33.677788 dB, SSIM: 0.922722

Epoch 16/150, Loss: 0.001029, PSNR: 32.316494 dB, SSIM: 0.919077

Epoch 17/150, Loss: 0.001021, PSNR: 33.142145 dB, SSIM: 0.921701

Epoch 18/150, Loss: 0.001016, PSNR: 31.767506 dB, SSIM: 0.920362

Epoch 19/150, Loss: 0.001011, PSNR: 33.682534 dB, SSIM: 0.923453

Epoch 20/150, Loss: 0.001004, PSNR: 33.725766 dB, SSIM: 0.924112

Epoch 21/150, Loss: 0.001004, PSNR: 32.993076 dB, SSIM: 0.918699

Epoch 22/150, Loss: 0.000998, PSNR: 33.724683 dB, SSIM: 0.924170

Epoch 23/150, Loss: 0.000996, PSNR: 33.337469 dB, SSIM: 0.923221

Epoch 24/150, Loss: 0.000990, PSNR: 33.542989 dB, SSIM: 0.920698

Epoch 25/150, Loss: 0.000987, PSNR: 32.997809 dB, SSIM: 0.924783

Epoch 26/150, Loss: 0.000988, PSNR: 33.565569 dB, SSIM: 0.923027

