================================================================================
Log File for Training Session SN8
================================================================================
Epoch 1/150, Loss: 0.003596, PSNR: 30.691993 dB, SSIM: 0.856287

Epoch 2/150, Loss: 0.001609, PSNR: 30.554055 dB, SSIM: 0.877187

Epoch 3/150, Loss: 0.001450, PSNR: 30.675160 dB, SSIM: 0.887690

Epoch 4/150, Loss: 0.001383, PSNR: 32.071947 dB, SSIM: 0.893691

Epoch 5/150, Loss: 0.001331, PSNR: 32.262403 dB, SSIM: 0.897820

Epoch 6/150, Loss: 0.001310, PSNR: 30.748398 dB, SSIM: 0.899339

Epoch 7/150, Loss: 0.001295, PSNR: 32.293371 dB, SSIM: 0.901079

Epoch 8/150, Loss: 0.001267, PSNR: 32.299213 dB, SSIM: 0.904144

Epoch 9/150, Loss: 0.001258, PSNR: 32.583927 dB, SSIM: 0.905611

Epoch 10/150, Loss: 0.001238, PSNR: 32.576521 dB, SSIM: 0.905185

Epoch 11/150, Loss: 0.001234, PSNR: 32.512604 dB, SSIM: 0.906785

Epoch 12/150, Loss: 0.001229, PSNR: 32.712304 dB, SSIM: 0.906964

Epoch 13/150, Loss: 0.001222, PSNR: 32.017867 dB, SSIM: 0.905420

Epoch 14/150, Loss: 0.001215, PSNR: 30.970731 dB, SSIM: 0.904967

Epoch 15/150, Loss: 0.001211, PSNR: 31.507856 dB, SSIM: 0.907453

Epoch 16/150, Loss: 0.001207, PSNR: 32.303260 dB, SSIM: 0.906890

Epoch 17/150, Loss: 0.001204, PSNR: 32.065971 dB, SSIM: 0.904633

Epoch 18/150, Loss: 0.001203, PSNR: 32.718403 dB, SSIM: 0.909748

Epoch 19/150, Loss: 0.001199, PSNR: 32.795461 dB, SSIM: 0.909752

Epoch 20/150, Loss: 0.001192, PSNR: 32.696881 dB, SSIM: 0.910161

Epoch 21/150, Loss: 0.001192, PSNR: 31.003427 dB, SSIM: 0.908351

Epoch 22/150, Loss: 0.001189, PSNR: 32.120922 dB, SSIM: 0.907069

Epoch 23/150, Loss: 0.001181, PSNR: 32.887090 dB, SSIM: 0.910921

Epoch 24/150, Loss: 0.001179, PSNR: 32.816475 dB, SSIM: 0.907403

Epoch 25/150, Loss: 0.001184, PSNR: 32.896132 dB, SSIM: 0.910891

Epoch 26/150, Loss: 0.001174, PSNR: 32.675115 dB, SSIM: 0.909746

Epoch 27/150, Loss: 0.001179, PSNR: 32.150064 dB, SSIM: 0.910929

Epoch 28/150, Loss: 0.001173, PSNR: 32.646659 dB, SSIM: 0.911210

Epoch 29/150, Loss: 0.001163, PSNR: 32.995688 dB, SSIM: 0.911842

Epoch 30/150, Loss: 0.001164, PSNR: 32.975442 dB, SSIM: 0.911859

Epoch 31/150, Loss: 0.001165, PSNR: 32.928013 dB, SSIM: 0.910149

Epoch 32/150, Loss: 0.001162, PSNR: 32.962962 dB, SSIM: 0.911108

Epoch 33/150, Loss: 0.001164, PSNR: 31.601010 dB, SSIM: 0.909916

Epoch 34/150, Loss: 0.001163, PSNR: 32.585429 dB, SSIM: 0.912051

Epoch 35/150, Loss: 0.001161, PSNR: 31.417191 dB, SSIM: 0.911209

Epoch 36/150, Loss: 0.001162, PSNR: 32.597218 dB, SSIM: 0.911862

Epoch 37/150, Loss: 0.001158, PSNR: 32.824783 dB, SSIM: 0.912232

Epoch 38/150, Loss: 0.001156, PSNR: 32.669435 dB, SSIM: 0.911784

Epoch 39/150, Loss: 0.001158, PSNR: 32.623535 dB, SSIM: 0.907522

Epoch 40/150, Loss: 0.001158, PSNR: 32.909990 dB, SSIM: 0.912071

Epoch 41/150, Loss: 0.001158, PSNR: 32.432407 dB, SSIM: 0.909289

Epoch 42/150, Loss: 0.001158, PSNR: 32.398027 dB, SSIM: 0.912157

Epoch 43/150, Loss: 0.001129, PSNR: 32.992597 dB, SSIM: 0.913842

Epoch 44/150, Loss: 0.001129, PSNR: 33.011112 dB, SSIM: 0.913816

Epoch 45/150, Loss: 0.001129, PSNR: 33.041013 dB, SSIM: 0.913457

Epoch 46/150, Loss: 0.001128, PSNR: 33.049945 dB, SSIM: 0.913194

Epoch 47/150, Loss: 0.001129, PSNR: 33.096679 dB, SSIM: 0.913742

Epoch 48/150, Loss: 0.001128, PSNR: 33.091981 dB, SSIM: 0.913682

Epoch 49/150, Loss: 0.001127, PSNR: 32.947867 dB, SSIM: 0.913058

Epoch 50/150, Loss: 0.001127, PSNR: 32.983205 dB, SSIM: 0.912123

Epoch 51/150, Loss: 0.001127, PSNR: 33.091612 dB, SSIM: 0.914101

Epoch 52/150, Loss: 0.001127, PSNR: 33.097067 dB, SSIM: 0.914024

Epoch 53/150, Loss: 0.001129, PSNR: 32.552102 dB, SSIM: 0.913251

Epoch 54/150, Loss: 0.001130, PSNR: 33.082294 dB, SSIM: 0.914125

Epoch 55/150, Loss: 0.001127, PSNR: 33.084350 dB, SSIM: 0.913687

Epoch 56/150, Loss: 0.001127, PSNR: 33.098749 dB, SSIM: 0.914105

Epoch 57/150, Loss: 0.001122, PSNR: 33.118385 dB, SSIM: 0.914503

Epoch 58/150, Loss: 0.001122, PSNR: 33.080240 dB, SSIM: 0.914642

Epoch 59/150, Loss: 0.001122, PSNR: 33.107509 dB, SSIM: 0.914258

Epoch 60/150, Loss: 0.001122, PSNR: 33.120747 dB, SSIM: 0.914469

Epoch 61/150, Loss: 0.001122, PSNR: 33.121761 dB, SSIM: 0.914295

Epoch 62/150, Loss: 0.001123, PSNR: 33.115804 dB, SSIM: 0.914079

Epoch 63/150, Loss: 0.001121, PSNR: 33.079560 dB, SSIM: 0.914404

Epoch 64/150, Loss: 0.001122, PSNR: 33.118368 dB, SSIM: 0.914113

Epoch 65/150, Loss: 0.001121, PSNR: 33.128514 dB, SSIM: 0.914475

Epoch 66/150, Loss: 0.001121, PSNR: 33.119661 dB, SSIM: 0.914436

Epoch 67/150, Loss: 0.001122, PSNR: 33.115993 dB, SSIM: 0.914611

Epoch 68/150, Loss: 0.001121, PSNR: 33.122324 dB, SSIM: 0.914285

Epoch 69/150, Loss: 0.001121, PSNR: 33.111459 dB, SSIM: 0.914634

Epoch 70/150, Loss: 0.001121, PSNR: 33.125539 dB, SSIM: 0.914549

Epoch 71/150, Loss: 0.001122, PSNR: 33.038188 dB, SSIM: 0.914374

Epoch 72/150, Loss: 0.001122, PSNR: 33.116386 dB, SSIM: 0.914508

Epoch 73/150, Loss: 0.001120, PSNR: 33.124622 dB, SSIM: 0.914449

Epoch 74/150, Loss: 0.001120, PSNR: 33.138378 dB, SSIM: 0.914588

Epoch 75/150, Loss: 0.001120, PSNR: 33.137981 dB, SSIM: 0.914597

Epoch 76/150, Loss: 0.001120, PSNR: 33.133907 dB, SSIM: 0.914661

Epoch 77/150, Loss: 0.001120, PSNR: 33.130297 dB, SSIM: 0.914391

Epoch 78/150, Loss: 0.001120, PSNR: 33.126425 dB, SSIM: 0.914620

Epoch 79/150, Loss: 0.001120, PSNR: 33.137472 dB, SSIM: 0.914614

Epoch 80/150, Loss: 0.001120, PSNR: 33.135212 dB, SSIM: 0.914386

Epoch 81/150, Loss: 0.001120, PSNR: 33.132760 dB, SSIM: 0.914430

Epoch 82/150, Loss: 0.001120, PSNR: 33.131471 dB, SSIM: 0.914464

Epoch 83/150, Loss: 0.001120, PSNR: 33.138893 dB, SSIM: 0.914553

Epoch 84/150, Loss: 0.001120, PSNR: 33.138013 dB, SSIM: 0.914653

Epoch 85/150, Loss: 0.001120, PSNR: 33.133820 dB, SSIM: 0.914237

Epoch 86/150, Loss: 0.001120, PSNR: 33.135768 dB, SSIM: 0.914728

Epoch 87/150, Loss: 0.001120, PSNR: 33.122953 dB, SSIM: 0.914580

Epoch 88/150, Loss: 0.001120, PSNR: 33.138981 dB, SSIM: 0.914577

Epoch 89/150, Loss: 0.001120, PSNR: 33.138315 dB, SSIM: 0.914565

Epoch 90/150, Loss: 0.001120, PSNR: 33.138711 dB, SSIM: 0.914595

Epoch 91/150, Loss: 0.001120, PSNR: 33.133947 dB, SSIM: 0.914591

Epoch 92/150, Loss: 0.001120, PSNR: 33.130585 dB, SSIM: 0.914498

Epoch 93/150, Loss: 0.001120, PSNR: 33.140075 dB, SSIM: 0.914597

Epoch 94/150, Loss: 0.001120, PSNR: 33.103642 dB, SSIM: 0.914291

Epoch 95/150, Loss: 0.001120, PSNR: 33.128562 dB, SSIM: 0.914499

Epoch 96/150, Loss: 0.001120, PSNR: 33.139523 dB, SSIM: 0.914637

Epoch 97/150, Loss: 0.001120, PSNR: 33.138855 dB, SSIM: 0.914630

Epoch 98/150, Loss: 0.001120, PSNR: 33.138571 dB, SSIM: 0.914559

Epoch 99/150, Loss: 0.001120, PSNR: 33.138885 dB, SSIM: 0.914515

Epoch 100/150, Loss: 0.001120, PSNR: 33.138234 dB, SSIM: 0.914577

Epoch 101/150, Loss: 0.001120, PSNR: 33.138610 dB, SSIM: 0.914585

Epoch 102/150, Loss: 0.001120, PSNR: 33.139527 dB, SSIM: 0.914505

Epoch 103/150, Loss: 0.001120, PSNR: 33.127834 dB, SSIM: 0.914678

Epoch 104/150, Loss: 0.001120, PSNR: 33.138872 dB, SSIM: 0.914528

Epoch 105/150, Loss: 0.001120, PSNR: 33.139776 dB, SSIM: 0.914576

Epoch 106/150, Loss: 0.001120, PSNR: 33.137998 dB, SSIM: 0.914487

Epoch 107/150, Loss: 0.001120, PSNR: 33.137046 dB, SSIM: 0.914559

Epoch 108/150, Loss: 0.001120, PSNR: 33.139282 dB, SSIM: 0.914544

Epoch 109/150, Loss: 0.001120, PSNR: 33.131577 dB, SSIM: 0.914676

Epoch 110/150, Loss: 0.001120, PSNR: 33.136503 dB, SSIM: 0.914534

Epoch 111/150, Loss: 0.001120, PSNR: 33.139055 dB, SSIM: 0.914542

Epoch 112/150, Loss: 0.001120, PSNR: 33.139218 dB, SSIM: 0.914567

Epoch 113/150, Loss: 0.001120, PSNR: 33.137672 dB, SSIM: 0.914507

Epoch 114/150, Loss: 0.001120, PSNR: 33.138501 dB, SSIM: 0.914555

Epoch 115/150, Loss: 0.001120, PSNR: 33.051269 dB, SSIM: 0.914165

Epoch 116/150, Loss: 0.001120, PSNR: 33.131897 dB, SSIM: 0.914700

Epoch 117/150, Loss: 0.001120, PSNR: 33.137534 dB, SSIM: 0.914549

Epoch 118/150, Loss: 0.001120, PSNR: 33.136084 dB, SSIM: 0.914468

Epoch 119/150, Loss: 0.001120, PSNR: 33.139479 dB, SSIM: 0.914593

Epoch 120/150, Loss: 0.001120, PSNR: 33.138853 dB, SSIM: 0.914596

Epoch 121/150, Loss: 0.001120, PSNR: 33.138700 dB, SSIM: 0.914595

Epoch 122/150, Loss: 0.001120, PSNR: 33.138509 dB, SSIM: 0.914554

Epoch 123/150, Loss: 0.001120, PSNR: 33.137856 dB, SSIM: 0.914572

Epoch 124/150, Loss: 0.001120, PSNR: 33.138512 dB, SSIM: 0.914573

Epoch 125/150, Loss: 0.001120, PSNR: 33.138977 dB, SSIM: 0.914590

Epoch 126/150, Loss: 0.001120, PSNR: 33.136837 dB, SSIM: 0.914577

Epoch 127/150, Loss: 0.001120, PSNR: 33.136890 dB, SSIM: 0.914703

Epoch 128/150, Loss: 0.001120, PSNR: 33.134891 dB, SSIM: 0.914321

Epoch 129/150, Loss: 0.001120, PSNR: 33.129072 dB, SSIM: 0.914538

Epoch 130/150, Loss: 0.001120, PSNR: 33.137722 dB, SSIM: 0.914512

Epoch 131/150, Loss: 0.001120, PSNR: 33.138703 dB, SSIM: 0.914710

Epoch 132/150, Loss: 0.001120, PSNR: 33.138048 dB, SSIM: 0.914610

Epoch 133/150, Loss: 0.001120, PSNR: 33.138812 dB, SSIM: 0.914581

Epoch 134/150, Loss: 0.001120, PSNR: 33.139882 dB, SSIM: 0.914579

Epoch 135/150, Loss: 0.001120, PSNR: 33.131032 dB, SSIM: 0.914567

Epoch 136/150, Loss: 0.001120, PSNR: 33.137791 dB, SSIM: 0.914613

Epoch 137/150, Loss: 0.001120, PSNR: 33.135653 dB, SSIM: 0.914578

Epoch 138/150, Loss: 0.001120, PSNR: 33.137265 dB, SSIM: 0.914512

Epoch 139/150, Loss: 0.001120, PSNR: 33.135461 dB, SSIM: 0.914692

Epoch 140/150, Loss: 0.001120, PSNR: 33.138112 dB, SSIM: 0.914583

Epoch 141/150, Loss: 0.001120, PSNR: 33.138142 dB, SSIM: 0.914551

Epoch 142/150, Loss: 0.001120, PSNR: 33.136497 dB, SSIM: 0.914601

Epoch 143/150, Loss: 0.001120, PSNR: 33.137038 dB, SSIM: 0.914607

Epoch 144/150, Loss: 0.001120, PSNR: 33.138657 dB, SSIM: 0.914564

Epoch 145/150, Loss: 0.001120, PSNR: 33.131830 dB, SSIM: 0.914671

Epoch 146/150, Loss: 0.001120, PSNR: 33.135154 dB, SSIM: 0.914626

Epoch 147/150, Loss: 0.001120, PSNR: 33.137321 dB, SSIM: 0.914552

Epoch 148/150, Loss: 0.001120, PSNR: 33.138110 dB, SSIM: 0.914596

Epoch 149/150, Loss: 0.001120, PSNR: 33.138448 dB, SSIM: 0.914570

Epoch 150/150, Loss: 0.001120, PSNR: 33.138525 dB, SSIM: 0.914642

Training took: 22:06:18
Best SSIM - Number of Parameters: 2681
Best PSNR - Number of Parameters: 2681
