================================================================================
Log File for Training Session SN5
================================================================================
Epoch 1/150, Loss: 0.005356, PSNR: 30.814723 dB, SSIM: 0.891119

Epoch 2/150, Loss: 0.001379, PSNR: 31.993588 dB, SSIM: 0.892508

Epoch 3/150, Loss: 0.001337, PSNR: 32.259240 dB, SSIM: 0.900319

Epoch 4/150, Loss: 0.001302, PSNR: 32.430593 dB, SSIM: 0.903558

Epoch 5/150, Loss: 0.001279, PSNR: 32.438257 dB, SSIM: 0.903919

Epoch 6/150, Loss: 0.001272, PSNR: 32.592801 dB, SSIM: 0.906424

Epoch 7/150, Loss: 0.001253, PSNR: 32.593424 dB, SSIM: 0.906616

Epoch 8/150, Loss: 0.001247, PSNR: 32.509441 dB, SSIM: 0.907206

Epoch 9/150, Loss: 0.001231, PSNR: 32.723783 dB, SSIM: 0.908070

Epoch 10/150, Loss: 0.001225, PSNR: 31.295234 dB, SSIM: 0.901678

Epoch 11/150, Loss: 0.001213, PSNR: 32.821846 dB, SSIM: 0.909694

Epoch 12/150, Loss: 0.001202, PSNR: 32.517996 dB, SSIM: 0.909333

Epoch 13/150, Loss: 0.001197, PSNR: 30.705023 dB, SSIM: 0.904428

Epoch 14/150, Loss: 0.001189, PSNR: 32.647769 dB, SSIM: 0.910172

Epoch 15/150, Loss: 0.001186, PSNR: 32.766993 dB, SSIM: 0.909511

Epoch 16/150, Loss: 0.001179, PSNR: 32.587808 dB, SSIM: 0.911473

Epoch 17/150, Loss: 0.001165, PSNR: 32.141113 dB, SSIM: 0.911139

Epoch 18/150, Loss: 0.001165, PSNR: 32.933888 dB, SSIM: 0.912237

Epoch 19/150, Loss: 0.001162, PSNR: 32.263995 dB, SSIM: 0.909606

Epoch 20/150, Loss: 0.001154, PSNR: 32.913633 dB, SSIM: 0.912506

Epoch 21/150, Loss: 0.001157, PSNR: 32.970015 dB, SSIM: 0.910366

Epoch 22/150, Loss: 0.001158, PSNR: 33.039648 dB, SSIM: 0.913342

