================================================================================
Log File for Training Session SN4
================================================================================
Epoch 1/150, Loss: 0.010630, PSNR: 29.789058 dB, SSIM: 0.853012

Epoch 2/150, Loss: 0.001885, PSNR: 30.601197 dB, SSIM: 0.873381

Epoch 3/150, Loss: 0.001697, PSNR: 31.151052 dB, SSIM: 0.881194

Epoch 4/150, Loss: 0.001565, PSNR: 29.952854 dB, SSIM: 0.885759

Epoch 5/150, Loss: 0.001482, PSNR: 31.632546 dB, SSIM: 0.892318

Epoch 6/150, Loss: 0.001440, PSNR: 31.729698 dB, SSIM: 0.895014

Epoch 7/150, Loss: 0.001409, PSNR: 28.601634 dB, SSIM: 0.884074

Epoch 8/150, Loss: 0.001380, PSNR: 30.532253 dB, SSIM: 0.896371

Epoch 9/150, Loss: 0.001397, PSNR: 32.046554 dB, SSIM: 0.897709

Epoch 10/150, Loss: 0.001358, PSNR: 31.855628 dB, SSIM: 0.898284

Epoch 11/150, Loss: 0.001358, PSNR: 32.018040 dB, SSIM: 0.898879

Epoch 12/150, Loss: 0.001366, PSNR: 32.088926 dB, SSIM: 0.897613

Epoch 13/150, Loss: 0.001372, PSNR: 31.914999 dB, SSIM: 0.899428

Epoch 14/150, Loss: 0.001340, PSNR: 30.036564 dB, SSIM: 0.895851

Epoch 15/150, Loss: 0.001349, PSNR: 31.835300 dB, SSIM: 0.899068

Epoch 16/150, Loss: 0.001353, PSNR: 32.138461 dB, SSIM: 0.899305

Epoch 17/150, Loss: 0.001327, PSNR: 28.905369 dB, SSIM: 0.895590

Epoch 18/150, Loss: 0.001338, PSNR: 32.263387 dB, SSIM: 0.901034

Epoch 19/150, Loss: 0.001329, PSNR: 30.291016 dB, SSIM: 0.893278

Epoch 20/150, Loss: 0.001325, PSNR: 32.120762 dB, SSIM: 0.898663

Epoch 21/150, Loss: 0.001330, PSNR: 32.277039 dB, SSIM: 0.900443

Epoch 22/150, Loss: 0.001316, PSNR: 32.309168 dB, SSIM: 0.900550

Epoch 23/150, Loss: 0.001322, PSNR: 32.164433 dB, SSIM: 0.901089

Epoch 24/150, Loss: 0.001306, PSNR: 31.754982 dB, SSIM: 0.900472

Epoch 25/150, Loss: 0.001299, PSNR: 32.305064 dB, SSIM: 0.901483

