================================================================================
Log File for Training Session SN12
================================================================================
Epoch 1/100, Loss: 0.009975, PSNR: 26.307309 dB, SSIM: 0.771484

Epoch 2/100, Loss: 0.002913, PSNR: 28.573690 dB, SSIM: 0.813140

Epoch 3/100, Loss: 0.002490, PSNR: 27.774981 dB, SSIM: 0.824023

Epoch 4/100, Loss: 0.002257, PSNR: 29.541761 dB, SSIM: 0.843643

Epoch 5/100, Loss: 0.002095, PSNR: 29.894836 dB, SSIM: 0.855082

Epoch 6/100, Loss: 0.001869, PSNR: 30.552192 dB, SSIM: 0.864848

Epoch 7/100, Loss: 0.001716, PSNR: 30.761952 dB, SSIM: 0.868725

Epoch 8/100, Loss: 0.001627, PSNR: 29.649727 dB, SSIM: 0.873699

Epoch 9/100, Loss: 0.001563, PSNR: 30.746582 dB, SSIM: 0.878319

Epoch 10/100, Loss: 0.001542, PSNR: 30.895070 dB, SSIM: 0.881435

Epoch 11/100, Loss: 0.001493, PSNR: 31.158849 dB, SSIM: 0.883467

Epoch 12/100, Loss: 0.001483, PSNR: 31.514471 dB, SSIM: 0.884377

Epoch 13/100, Loss: 0.001460, PSNR: 29.175362 dB, SSIM: 0.879100

Epoch 14/100, Loss: 0.001419, PSNR: 31.659556 dB, SSIM: 0.890468

Epoch 15/100, Loss: 0.001412, PSNR: 31.865024 dB, SSIM: 0.892896

Epoch 16/100, Loss: 0.001381, PSNR: 31.932643 dB, SSIM: 0.893456

Epoch 17/100, Loss: 0.001377, PSNR: 32.019195 dB, SSIM: 0.893635

Epoch 18/100, Loss: 0.001389, PSNR: 31.997905 dB, SSIM: 0.894695

Epoch 19/100, Loss: 0.001359, PSNR: 32.015599 dB, SSIM: 0.895137

Epoch 20/100, Loss: 0.001375, PSNR: 32.036410 dB, SSIM: 0.896241

Epoch 21/100, Loss: 0.001351, PSNR: 32.017435 dB, SSIM: 0.896009

Epoch 22/100, Loss: 0.001338, PSNR: 31.755468 dB, SSIM: 0.894928

Epoch 23/100, Loss: 0.001350, PSNR: 30.532087 dB, SSIM: 0.885506

Epoch 24/100, Loss: 0.001348, PSNR: 30.354247 dB, SSIM: 0.893145

Epoch 25/100, Loss: 0.001338, PSNR: 32.088648 dB, SSIM: 0.894371

Epoch 26/100, Loss: 0.001336, PSNR: 32.173471 dB, SSIM: 0.897760

Epoch 27/100, Loss: 0.001325, PSNR: 32.055189 dB, SSIM: 0.898062

Epoch 28/100, Loss: 0.001326, PSNR: 32.218241 dB, SSIM: 0.898307

Epoch 29/100, Loss: 0.001325, PSNR: 29.861035 dB, SSIM: 0.893559

Epoch 30/100, Loss: 0.001306, PSNR: 29.602681 dB, SSIM: 0.895775

Epoch 31/100, Loss: 0.001315, PSNR: 30.946000 dB, SSIM: 0.894622

Epoch 32/100, Loss: 0.001313, PSNR: 31.283597 dB, SSIM: 0.895955

Epoch 33/100, Loss: 0.001300, PSNR: 32.228157 dB, SSIM: 0.899663

Epoch 34/100, Loss: 0.001309, PSNR: 32.129228 dB, SSIM: 0.897577

