================================================================================
Log File for Training Session SN2
================================================================================
Epoch 1/150, Loss: 0.004230, PSNR: 31.278220 dB, SSIM: 0.868142

Epoch 2/150, Loss: 0.001499, PSNR: 29.711029 dB, SSIM: 0.871425

Epoch 3/150, Loss: 0.001417, PSNR: 32.098275 dB, SSIM: 0.891357

Epoch 4/150, Loss: 0.001439, PSNR: 32.123248 dB, SSIM: 0.892575

Epoch 5/150, Loss: 0.001360, PSNR: 30.897199 dB, SSIM: 0.890228

Epoch 6/150, Loss: 0.001345, PSNR: 30.755996 dB, SSIM: 0.896418

Epoch 7/150, Loss: 0.001291, PSNR: 32.508262 dB, SSIM: 0.899981

Epoch 8/150, Loss: 0.001280, PSNR: 32.558343 dB, SSIM: 0.903482

Epoch 9/150, Loss: 0.001253, PSNR: 27.687783 dB, SSIM: 0.892942

Epoch 10/150, Loss: 0.001238, PSNR: 32.697912 dB, SSIM: 0.903923

Epoch 11/150, Loss: 0.001242, PSNR: 32.743686 dB, SSIM: 0.904680

Epoch 12/150, Loss: 0.001212, PSNR: 32.269719 dB, SSIM: 0.904832

Epoch 13/150, Loss: 0.001219, PSNR: 31.783326 dB, SSIM: 0.907057

Epoch 14/150, Loss: 0.001208, PSNR: 32.692492 dB, SSIM: 0.907516

Epoch 15/150, Loss: 0.001188, PSNR: 32.942239 dB, SSIM: 0.910534

Epoch 16/150, Loss: 0.001185, PSNR: 32.637402 dB, SSIM: 0.906110

Epoch 17/150, Loss: 0.001168, PSNR: 30.262135 dB, SSIM: 0.899578

Epoch 18/150, Loss: 0.001190, PSNR: 32.467926 dB, SSIM: 0.910620

Epoch 19/150, Loss: 0.001171, PSNR: 32.977597 dB, SSIM: 0.910875

Epoch 20/150, Loss: 0.001145, PSNR: 32.820942 dB, SSIM: 0.910586

Epoch 21/150, Loss: 0.001159, PSNR: 32.515837 dB, SSIM: 0.908670

Epoch 22/150, Loss: 0.001162, PSNR: 32.867170 dB, SSIM: 0.911616

Epoch 23/150, Loss: 0.001144, PSNR: 33.018116 dB, SSIM: 0.913100

Epoch 24/150, Loss: 0.001159, PSNR: 32.952117 dB, SSIM: 0.910557

Epoch 25/150, Loss: 0.001157, PSNR: 33.076703 dB, SSIM: 0.912773

Epoch 26/150, Loss: 0.001137, PSNR: 33.109422 dB, SSIM: 0.912987

Epoch 27/150, Loss: 0.001145, PSNR: 33.150340 dB, SSIM: 0.914364

Epoch 28/150, Loss: 0.001141, PSNR: 32.446005 dB, SSIM: 0.912035

Epoch 29/150, Loss: 0.001135, PSNR: 33.029889 dB, SSIM: 0.913232

Epoch 30/150, Loss: 0.001141, PSNR: 33.044447 dB, SSIM: 0.913287

Epoch 31/150, Loss: 0.001143, PSNR: 32.926236 dB, SSIM: 0.913746

Epoch 32/150, Loss: 0.001135, PSNR: 31.389538 dB, SSIM: 0.911458

Epoch 33/150, Loss: 0.001138, PSNR: 32.449941 dB, SSIM: 0.908712

Epoch 34/150, Loss: 0.001070, PSNR: 33.236685 dB, SSIM: 0.916176

Epoch 35/150, Loss: 0.001070, PSNR: 33.257162 dB, SSIM: 0.916535

Epoch 36/150, Loss: 0.001071, PSNR: 33.286974 dB, SSIM: 0.916890

Epoch 37/150, Loss: 0.001069, PSNR: 33.291378 dB, SSIM: 0.917022

Epoch 38/150, Loss: 0.001067, PSNR: 33.276299 dB, SSIM: 0.916516

Epoch 39/150, Loss: 0.001068, PSNR: 33.257201 dB, SSIM: 0.916495

Epoch 40/150, Loss: 0.001066, PSNR: 33.309776 dB, SSIM: 0.917114

Epoch 41/150, Loss: 0.001064, PSNR: 33.217263 dB, SSIM: 0.916570

Epoch 42/150, Loss: 0.001063, PSNR: 33.278096 dB, SSIM: 0.916342

Epoch 43/150, Loss: 0.001063, PSNR: 33.234164 dB, SSIM: 0.916832

Epoch 44/150, Loss: 0.001062, PSNR: 33.338500 dB, SSIM: 0.917390

Epoch 45/150, Loss: 0.001061, PSNR: 33.176085 dB, SSIM: 0.917670

Epoch 46/150, Loss: 0.001060, PSNR: 33.343135 dB, SSIM: 0.917607

Epoch 47/150, Loss: 0.001059, PSNR: 33.223332 dB, SSIM: 0.916998

Epoch 48/150, Loss: 0.001057, PSNR: 33.343333 dB, SSIM: 0.917552

Epoch 49/150, Loss: 0.001060, PSNR: 33.348435 dB, SSIM: 0.918048

Epoch 50/150, Loss: 0.001058, PSNR: 33.322399 dB, SSIM: 0.917820

Epoch 51/150, Loss: 0.001055, PSNR: 33.299220 dB, SSIM: 0.918101

Epoch 52/150, Loss: 0.001055, PSNR: 33.371232 dB, SSIM: 0.918018

Epoch 53/150, Loss: 0.001055, PSNR: 33.368082 dB, SSIM: 0.918538

Epoch 54/150, Loss: 0.001054, PSNR: 33.362841 dB, SSIM: 0.917687

Epoch 55/150, Loss: 0.001053, PSNR: 33.191076 dB, SSIM: 0.917766

Epoch 56/150, Loss: 0.001053, PSNR: 33.398987 dB, SSIM: 0.917865

Epoch 57/150, Loss: 0.001052, PSNR: 33.358649 dB, SSIM: 0.918177

Epoch 58/150, Loss: 0.001053, PSNR: 33.218677 dB, SSIM: 0.917617

