================================================================================
Log File for Training Session SN6
================================================================================
Epoch 1/150, Loss: 0.004452, PSNR: 29.205556 dB, SSIM: 0.843299

Epoch 2/150, Loss: 0.001629, PSNR: 30.754861 dB, SSIM: 0.867077

Epoch 3/150, Loss: 0.001492, PSNR: 31.531842 dB, SSIM: 0.880445

Epoch 4/150, Loss: 0.001420, PSNR: 31.680772 dB, SSIM: 0.888105

Epoch 5/150, Loss: 0.001377, PSNR: 31.863814 dB, SSIM: 0.890076

Epoch 6/150, Loss: 0.001345, PSNR: 32.204673 dB, SSIM: 0.897247

Epoch 7/150, Loss: 0.001324, PSNR: 32.242191 dB, SSIM: 0.895666

Epoch 8/150, Loss: 0.001296, PSNR: 32.360331 dB, SSIM: 0.899749

Epoch 9/150, Loss: 0.001289, PSNR: 32.249445 dB, SSIM: 0.902858

Epoch 10/150, Loss: 0.001275, PSNR: 32.392465 dB, SSIM: 0.902751

Epoch 11/150, Loss: 0.001261, PSNR: 32.498561 dB, SSIM: 0.903973

Epoch 12/150, Loss: 0.001257, PSNR: 32.510549 dB, SSIM: 0.904167

Epoch 13/150, Loss: 0.001240, PSNR: 31.557706 dB, SSIM: 0.905165

Epoch 14/150, Loss: 0.001239, PSNR: 32.453246 dB, SSIM: 0.902187

Epoch 15/150, Loss: 0.001224, PSNR: 32.323208 dB, SSIM: 0.904420

Epoch 16/150, Loss: 0.001228, PSNR: 32.740756 dB, SSIM: 0.907352

Epoch 17/150, Loss: 0.001216, PSNR: 31.844646 dB, SSIM: 0.907616

Epoch 18/150, Loss: 0.001212, PSNR: 32.122560 dB, SSIM: 0.907163

Epoch 19/150, Loss: 0.001208, PSNR: 32.763160 dB, SSIM: 0.908018

Epoch 20/150, Loss: 0.001205, PSNR: 32.668423 dB, SSIM: 0.907063

Epoch 21/150, Loss: 0.001207, PSNR: 32.752166 dB, SSIM: 0.909011

Epoch 22/150, Loss: 0.001200, PSNR: 32.855242 dB, SSIM: 0.909911

Epoch 23/150, Loss: 0.001210, PSNR: 32.866805 dB, SSIM: 0.910101

Epoch 24/150, Loss: 0.001200, PSNR: 32.210454 dB, SSIM: 0.910112

Epoch 25/150, Loss: 0.001189, PSNR: 32.846931 dB, SSIM: 0.908729

Epoch 26/150, Loss: 0.001199, PSNR: 32.886758 dB, SSIM: 0.910043

Epoch 27/150, Loss: 0.001192, PSNR: 32.320208 dB, SSIM: 0.907851

Epoch 28/150, Loss: 0.001190, PSNR: 32.874280 dB, SSIM: 0.910506

Epoch 29/150, Loss: 0.001191, PSNR: 32.852933 dB, SSIM: 0.910965

Epoch 30/150, Loss: 0.001158, PSNR: 32.914443 dB, SSIM: 0.911844

Epoch 31/150, Loss: 0.001158, PSNR: 32.918929 dB, SSIM: 0.911531

Epoch 32/150, Loss: 0.001156, PSNR: 32.968860 dB, SSIM: 0.911461

Epoch 33/150, Loss: 0.001156, PSNR: 32.973029 dB, SSIM: 0.911919

Epoch 34/150, Loss: 0.001156, PSNR: 32.941878 dB, SSIM: 0.911821

