================================================================================
Log File for Training Session RN2
================================================================================
Epoch 1/150, Loss: 0.005069, PSNR: 30.066715 dB, SSIM: 0.857419

Epoch 2/150, Loss: 0.001753, PSNR: 28.553010 dB, SSIM: 0.863355

Epoch 3/150, Loss: 0.001579, PSNR: 30.830633 dB, SSIM: 0.883399

Epoch 4/150, Loss: 0.001428, PSNR: 31.877476 dB, SSIM: 0.889536

Epoch 5/150, Loss: 0.001344, PSNR: 32.146552 dB, SSIM: 0.896878

Epoch 6/150, Loss: 0.001328, PSNR: 32.149145 dB, SSIM: 0.896217

Epoch 7/150, Loss: 0.001313, PSNR: 31.909499 dB, SSIM: 0.898808

Epoch 8/150, Loss: 0.001289, PSNR: 32.190551 dB, SSIM: 0.902408

Epoch 9/150, Loss: 0.001288, PSNR: 31.740966 dB, SSIM: 0.901909

Epoch 10/150, Loss: 0.001263, PSNR: 32.519790 dB, SSIM: 0.904123

Epoch 11/150, Loss: 0.001265, PSNR: 32.203219 dB, SSIM: 0.904131

Epoch 12/150, Loss: 0.001256, PSNR: 32.489263 dB, SSIM: 0.903061

Epoch 13/150, Loss: 0.001234, PSNR: 32.508466 dB, SSIM: 0.903135

Epoch 14/150, Loss: 0.001236, PSNR: 32.539106 dB, SSIM: 0.906831

Epoch 15/150, Loss: 0.001238, PSNR: 31.236435 dB, SSIM: 0.901877

Epoch 16/150, Loss: 0.001225, PSNR: 32.690178 dB, SSIM: 0.906906

Epoch 17/150, Loss: 0.001220, PSNR: 32.664976 dB, SSIM: 0.907448

Epoch 18/150, Loss: 0.001220, PSNR: 32.177200 dB, SSIM: 0.905275

Epoch 19/150, Loss: 0.001210, PSNR: 32.695034 dB, SSIM: 0.909529

Epoch 20/150, Loss: 0.001212, PSNR: 32.332068 dB, SSIM: 0.906653

Epoch 21/150, Loss: 0.001210, PSNR: 32.081053 dB, SSIM: 0.909331

Epoch 22/150, Loss: 0.001211, PSNR: 32.190444 dB, SSIM: 0.908290

Epoch 23/150, Loss: 0.001206, PSNR: 32.635735 dB, SSIM: 0.909174

Epoch 24/150, Loss: 0.001206, PSNR: 31.403221 dB, SSIM: 0.905867

Epoch 25/150, Loss: 0.001201, PSNR: 32.721053 dB, SSIM: 0.908402

Epoch 26/150, Loss: 0.001194, PSNR: 32.626200 dB, SSIM: 0.908689

Epoch 27/150, Loss: 0.001197, PSNR: 31.594847 dB, SSIM: 0.906452

Epoch 28/150, Loss: 0.001187, PSNR: 32.760709 dB, SSIM: 0.910361

Epoch 29/150, Loss: 0.001189, PSNR: 32.818074 dB, SSIM: 0.910802

Epoch 30/150, Loss: 0.001181, PSNR: 32.805518 dB, SSIM: 0.908036

Epoch 31/150, Loss: 0.001184, PSNR: 31.823901 dB, SSIM: 0.909552

