================================================================================
Log File for Training Session SN9
================================================================================
Epoch 1/150, Loss: 0.005945, PSNR: 30.119696 dB, SSIM: 0.848843

Epoch 2/150, Loss: 0.001852, PSNR: 30.654383 dB, SSIM: 0.861261

Epoch 3/150, Loss: 0.001713, PSNR: 30.889884 dB, SSIM: 0.869393

Epoch 4/150, Loss: 0.001672, PSNR: 31.195864 dB, SSIM: 0.878110

Epoch 5/150, Loss: 0.001574, PSNR: 31.305781 dB, SSIM: 0.883477

Epoch 6/150, Loss: 0.001512, PSNR: 31.074642 dB, SSIM: 0.885341

Epoch 7/150, Loss: 0.001457, PSNR: 31.363062 dB, SSIM: 0.892667

Epoch 8/150, Loss: 0.001382, PSNR: 31.915921 dB, SSIM: 0.896049

Epoch 9/150, Loss: 0.001380, PSNR: 31.581712 dB, SSIM: 0.896009

Epoch 10/150, Loss: 0.001372, PSNR: 31.902980 dB, SSIM: 0.898385

Epoch 11/150, Loss: 0.001335, PSNR: 31.848615 dB, SSIM: 0.897671

Epoch 12/150, Loss: 0.001328, PSNR: 32.130974 dB, SSIM: 0.901125

Epoch 13/150, Loss: 0.001312, PSNR: 32.169755 dB, SSIM: 0.900878

Epoch 14/150, Loss: 0.001300, PSNR: 32.091754 dB, SSIM: 0.902651

Epoch 15/150, Loss: 0.001286, PSNR: 32.340857 dB, SSIM: 0.902512

Epoch 16/150, Loss: 0.001282, PSNR: 32.349166 dB, SSIM: 0.900218

Epoch 17/150, Loss: 0.001273, PSNR: 32.362895 dB, SSIM: 0.900950

Epoch 18/150, Loss: 0.001276, PSNR: 31.637101 dB, SSIM: 0.902980

Epoch 19/150, Loss: 0.001271, PSNR: 32.509612 dB, SSIM: 0.904293

Epoch 20/150, Loss: 0.001265, PSNR: 31.231180 dB, SSIM: 0.903627

Epoch 21/150, Loss: 0.001260, PSNR: 32.555762 dB, SSIM: 0.905637

Epoch 22/150, Loss: 0.001256, PSNR: 31.221318 dB, SSIM: 0.903766

Epoch 23/150, Loss: 0.001261, PSNR: 32.579314 dB, SSIM: 0.904512

Epoch 24/150, Loss: 0.001249, PSNR: 32.344392 dB, SSIM: 0.904540

