================================================================================
Log File for Training Session RN6
================================================================================
Epoch 1/150, Loss: 0.002685, PSNR: 30.668379 dB, SSIM: 0.892487

Epoch 2/150, Loss: 0.001377, PSNR: 32.094065 dB, SSIM: 0.900013

Epoch 3/150, Loss: 0.001317, PSNR: 32.241762 dB, SSIM: 0.902855

Epoch 4/150, Loss: 0.001277, PSNR: 32.595916 dB, SSIM: 0.905994

Epoch 5/150, Loss: 0.001254, PSNR: 32.725902 dB, SSIM: 0.907944

Epoch 6/150, Loss: 0.001225, PSNR: 32.857027 dB, SSIM: 0.910147

Epoch 7/150, Loss: 0.001203, PSNR: 32.914595 dB, SSIM: 0.911044

Epoch 8/150, Loss: 0.001183, PSNR: 32.944574 dB, SSIM: 0.910611

Epoch 9/150, Loss: 0.001165, PSNR: 33.054415 dB, SSIM: 0.913249

Epoch 10/150, Loss: 0.001152, PSNR: 33.052104 dB, SSIM: 0.914047

Epoch 11/150, Loss: 0.001142, PSNR: 31.947509 dB, SSIM: 0.913971

Epoch 12/150, Loss: 0.001134, PSNR: 33.138309 dB, SSIM: 0.915038

Epoch 13/150, Loss: 0.001123, PSNR: 33.075710 dB, SSIM: 0.915219

Epoch 14/150, Loss: 0.001115, PSNR: 31.286554 dB, SSIM: 0.914383

Epoch 15/150, Loss: 0.001112, PSNR: 33.281193 dB, SSIM: 0.916671

Epoch 16/150, Loss: 0.001098, PSNR: 32.899807 dB, SSIM: 0.917210

Epoch 17/150, Loss: 0.001097, PSNR: 31.750186 dB, SSIM: 0.916220

Epoch 18/150, Loss: 0.001090, PSNR: 33.325039 dB, SSIM: 0.916514

Epoch 19/150, Loss: 0.001086, PSNR: 33.273181 dB, SSIM: 0.917716

Epoch 20/150, Loss: 0.001081, PSNR: 33.350074 dB, SSIM: 0.917257

Epoch 21/150, Loss: 0.001081, PSNR: 33.401563 dB, SSIM: 0.918827

Epoch 22/150, Loss: 0.001070, PSNR: 33.366092 dB, SSIM: 0.918634

Epoch 23/150, Loss: 0.001071, PSNR: 33.345511 dB, SSIM: 0.919074

Epoch 24/150, Loss: 0.001069, PSNR: 32.809574 dB, SSIM: 0.918720

Epoch 25/150, Loss: 0.001066, PSNR: 33.348926 dB, SSIM: 0.919231

Epoch 26/150, Loss: 0.001062, PSNR: 32.377235 dB, SSIM: 0.917789

Epoch 27/150, Loss: 0.001063, PSNR: 33.211399 dB, SSIM: 0.919423

Epoch 28/150, Loss: 0.001057, PSNR: 31.990571 dB, SSIM: 0.918358

Epoch 29/150, Loss: 0.001054, PSNR: 33.530599 dB, SSIM: 0.920499

