================================================================================
Log File for Training Session RN4
================================================================================
Epoch 1/150, Loss: 0.002214, PSNR: 32.326644 dB, SSIM: 0.902282

Epoch 2/150, Loss: 0.001327, PSNR: 32.579755 dB, SSIM: 0.907134

Epoch 3/150, Loss: 0.001266, PSNR: 32.781933 dB, SSIM: 0.907438

Epoch 4/150, Loss: 0.001219, PSNR: 32.799809 dB, SSIM: 0.911030

Epoch 5/150, Loss: 0.001178, PSNR: 33.053366 dB, SSIM: 0.912520

Epoch 6/150, Loss: 0.001153, PSNR: 32.908816 dB, SSIM: 0.916273

Epoch 7/150, Loss: 0.001125, PSNR: 33.050361 dB, SSIM: 0.916640

Epoch 8/150, Loss: 0.001109, PSNR: 33.280706 dB, SSIM: 0.918066

Epoch 9/150, Loss: 0.001104, PSNR: 32.086565 dB, SSIM: 0.917484

Epoch 10/150, Loss: 0.001099, PSNR: 33.155769 dB, SSIM: 0.918528

Epoch 11/150, Loss: 0.001071, PSNR: 33.343910 dB, SSIM: 0.920025

Epoch 12/150, Loss: 0.001068, PSNR: 33.495712 dB, SSIM: 0.920025

Epoch 13/150, Loss: 0.001052, PSNR: 33.504235 dB, SSIM: 0.920924

Epoch 14/150, Loss: 0.001050, PSNR: 33.206430 dB, SSIM: 0.919315

Epoch 15/150, Loss: 0.001040, PSNR: 33.628010 dB, SSIM: 0.922630

Epoch 16/150, Loss: 0.001036, PSNR: 33.639474 dB, SSIM: 0.921246

Epoch 17/150, Loss: 0.001028, PSNR: 32.869552 dB, SSIM: 0.922795

Epoch 18/150, Loss: 0.001023, PSNR: 32.878794 dB, SSIM: 0.919710

Epoch 19/150, Loss: 0.001017, PSNR: 33.709295 dB, SSIM: 0.923352

Epoch 20/150, Loss: 0.001014, PSNR: 33.644879 dB, SSIM: 0.921158

Epoch 21/150, Loss: 0.001008, PSNR: 30.991854 dB, SSIM: 0.916493

Epoch 22/150, Loss: 0.001012, PSNR: 33.130408 dB, SSIM: 0.921738

Epoch 23/150, Loss: 0.001002, PSNR: 33.663035 dB, SSIM: 0.923902

Epoch 24/150, Loss: 0.001003, PSNR: 33.683232 dB, SSIM: 0.923678

Epoch 25/150, Loss: 0.001002, PSNR: 33.589634 dB, SSIM: 0.922398

Epoch 26/150, Loss: 0.000998, PSNR: 33.810489 dB, SSIM: 0.923652

