================================================================================
Log File for Training Session SN7
================================================================================
Epoch 1/150, Loss: 0.005530, PSNR: 29.053626 dB, SSIM: 0.843380

Epoch 2/150, Loss: 0.001669, PSNR: 30.929889 dB, SSIM: 0.860043

Epoch 3/150, Loss: 0.001511, PSNR: 30.284215 dB, SSIM: 0.872010

Epoch 4/150, Loss: 0.001452, PSNR: 30.887240 dB, SSIM: 0.884011

Epoch 5/150, Loss: 0.001436, PSNR: 28.951758 dB, SSIM: 0.881730

Epoch 6/150, Loss: 0.001397, PSNR: 29.902657 dB, SSIM: 0.887380

Epoch 7/150, Loss: 0.001363, PSNR: 31.478790 dB, SSIM: 0.892140

Epoch 8/150, Loss: 0.001343, PSNR: 31.383178 dB, SSIM: 0.895400

Epoch 9/150, Loss: 0.001321, PSNR: 30.156136 dB, SSIM: 0.893851

Epoch 10/150, Loss: 0.001312, PSNR: 31.981878 dB, SSIM: 0.897961

Epoch 11/150, Loss: 0.001286, PSNR: 32.299652 dB, SSIM: 0.899880

Epoch 12/150, Loss: 0.001283, PSNR: 32.408162 dB, SSIM: 0.900917

Epoch 13/150, Loss: 0.001263, PSNR: 32.381048 dB, SSIM: 0.900377

Epoch 14/150, Loss: 0.001263, PSNR: 32.209764 dB, SSIM: 0.902113

Epoch 15/150, Loss: 0.001264, PSNR: 32.476367 dB, SSIM: 0.901729

Epoch 16/150, Loss: 0.001247, PSNR: 32.160288 dB, SSIM: 0.903189

Epoch 17/150, Loss: 0.001251, PSNR: 32.174878 dB, SSIM: 0.903912

Epoch 18/150, Loss: 0.001250, PSNR: 32.591721 dB, SSIM: 0.904403

Epoch 19/150, Loss: 0.001232, PSNR: 32.414400 dB, SSIM: 0.902601

Epoch 20/150, Loss: 0.001245, PSNR: 32.533843 dB, SSIM: 0.904567

Epoch 21/150, Loss: 0.001228, PSNR: 32.604828 dB, SSIM: 0.905037

Epoch 22/150, Loss: 0.001228, PSNR: 32.628638 dB, SSIM: 0.905110

Epoch 23/150, Loss: 0.001225, PSNR: 32.672533 dB, SSIM: 0.905156

Epoch 24/150, Loss: 0.001221, PSNR: 32.243276 dB, SSIM: 0.905339

Epoch 25/150, Loss: 0.001222, PSNR: 32.721728 dB, SSIM: 0.906922

Epoch 26/150, Loss: 0.001218, PSNR: 32.547046 dB, SSIM: 0.906445

Epoch 27/150, Loss: 0.001206, PSNR: 32.788286 dB, SSIM: 0.908110

Epoch 28/150, Loss: 0.001209, PSNR: 32.778248 dB, SSIM: 0.907582

Epoch 29/150, Loss: 0.001201, PSNR: 32.254255 dB, SSIM: 0.905431

Epoch 30/150, Loss: 0.001204, PSNR: 32.773240 dB, SSIM: 0.906155

Epoch 31/150, Loss: 0.001200, PSNR: 32.468575 dB, SSIM: 0.907467

Epoch 32/150, Loss: 0.001208, PSNR: 29.755930 dB, SSIM: 0.904616

Epoch 33/150, Loss: 0.001206, PSNR: 32.758223 dB, SSIM: 0.908856

Epoch 34/150, Loss: 0.001188, PSNR: 32.767293 dB, SSIM: 0.907437

Epoch 35/150, Loss: 0.001191, PSNR: 32.750664 dB, SSIM: 0.908297

Epoch 36/150, Loss: 0.001194, PSNR: 32.568215 dB, SSIM: 0.907502

Epoch 37/150, Loss: 0.001190, PSNR: 32.854782 dB, SSIM: 0.908932

Epoch 38/150, Loss: 0.001183, PSNR: 32.860817 dB, SSIM: 0.908656
