================================================================================
Log File for Training Session SN10
================================================================================
Epoch 1/150, Loss: 0.064824, PSNR: 13.413798 dB, SSIM: 0.205905

Epoch 2/150, Loss: 0.052667, PSNR: 13.419013 dB, SSIM: 0.207214

Epoch 3/150, Loss: 0.052643, PSNR: 13.420573 dB, SSIM: 0.208059

Epoch 4/150, Loss: 0.052631, PSNR: 13.419258 dB, SSIM: 0.207583

Epoch 5/150, Loss: 0.052624, PSNR: 13.419478 dB, SSIM: 0.209930

Epoch 6/150, Loss: 0.052621, PSNR: 13.421419 dB, SSIM: 0.208397

Epoch 7/150, Loss: 0.052606, PSNR: 13.422093 dB, SSIM: 0.208800

Epoch 8/150, Loss: 0.052606, PSNR: 13.421829 dB, SSIM: 0.209479

Epoch 9/150, Loss: 0.052605, PSNR: 13.422918 dB, SSIM: 0.209195

Epoch 10/150, Loss: 0.052600, PSNR: 13.423138 dB, SSIM: 0.209275

Epoch 11/150, Loss: 0.052597, PSNR: 13.423401 dB, SSIM: 0.208421

Epoch 12/150, Loss: 0.052594, PSNR: 13.422899 dB, SSIM: 0.209759

Epoch 13/150, Loss: 0.052597, PSNR: 13.423429 dB, SSIM: 0.209265

Epoch 14/150, Loss: 0.052590, PSNR: 13.421160 dB, SSIM: 0.208620

Epoch 15/150, Loss: 0.052589, PSNR: 13.423619 dB, SSIM: 0.209800

Epoch 16/150, Loss: 0.052590, PSNR: 13.423967 dB, SSIM: 0.209353

Epoch 17/150, Loss: 0.052552, PSNR: 13.409772 dB, SSIM: 0.208326

Epoch 18/150, Loss: 0.052552, PSNR: 13.408900 dB, SSIM: 0.207998

Epoch 19/150, Loss: 0.052552, PSNR: 13.408968 dB, SSIM: 0.208316

Epoch 20/150, Loss: 0.052551, PSNR: 13.408438 dB, SSIM: 0.208840

Epoch 21/150, Loss: 0.052551, PSNR: 13.409078 dB, SSIM: 0.208346

Epoch 22/150, Loss: 0.052547, PSNR: 13.409550 dB, SSIM: 0.208028

Epoch 23/150, Loss: 0.052548, PSNR: 13.409799 dB, SSIM: 0.208479

Epoch 24/150, Loss: 0.052547, PSNR: 13.410359 dB, SSIM: 0.208402

Epoch 25/150, Loss: 0.052547, PSNR: 13.410575 dB, SSIM: 0.208513

Epoch 26/150, Loss: 0.052547, PSNR: 13.410558 dB, SSIM: 0.208070

Epoch 27/150, Loss: 0.052547, PSNR: 13.410625 dB, SSIM: 0.208343

